"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
58,"No","Travel_Rarely",682,"Sales",10,"Master","Medical","Very_High","Male",37,"High","4","Sales_Executive","High","Single",13872,24409,0,"No",13,"Excellent","High","0",38,"1","Good",37,10,1,8
44,"No","Non-Travel",489,"Research_Development",23,"Bachelor","Medical","Medium","Male",67,"High","2","Laboratory_Technician","Medium","Married",2042,25043,4,"No",12,"Excellent","High","1",17,"3","Best",3,2,1,2
37,"Yes","Travel_Rarely",807,"Human_Resources",6,"Master","Human_Resources","High","Male",63,"High","1","Human_Resources","Low","Divorced",2073,23648,4,"Yes",22,"Outstanding","Very_High","0",7,"3","Better",3,2,0,2
32,"No","Travel_Rarely",827,"Research_Development",1,"Below_College","Life_Sciences","Very_High","Male",71,"High","1","Research_Scientist","Low","Single",2956,15178,1,"No",13,"Excellent","Very_High","0",1,"2","Better",1,0,0,0
20,"Yes","Travel_Frequently",871,"Research_Development",6,"Bachelor","Life_Sciences","Very_High","Female",66,"Medium","1","Laboratory_Technician","Very_High","Single",2926,19783,1,"Yes",18,"Excellent","Medium","0",1,"5","Better",1,0,1,0
34,"No","Travel_Rarely",665,"Research_Development",6,"Master","Other","Low","Female",41,"High","2","Research_Scientist","High","Single",4809,12482,1,"No",14,"Excellent","High","0",16,"3","Better",16,13,2,10
37,"No","Non-Travel",1040,"Research_Development",2,"College","Life_Sciences","High","Male",100,"Medium","2","Healthcare_Representative","Very_High","Divorced",5163,15850,5,"No",14,"Excellent","Very_High","1",17,"2","Best",1,0,0,0
59,"No","Non-Travel",1420,"Human_Resources",2,"Master","Human_Resources","High","Female",32,"Medium","5","Manager","Very_High","Married",18844,21922,9,"No",21,"Outstanding","Very_High","1",30,"3","Better",3,2,2,2
50,"No","Travel_Frequently",1115,"Research_Development",1,"Bachelor","Life_Sciences","Low","Female",73,"High","5","Research_Director","Medium","Married",18172,9755,3,"Yes",19,"Excellent","Low","0",28,"1","Good",8,3,0,7
25,"Yes","Travel_Rarely",240,"Sales",5,"Bachelor","Marketing","High","Male",46,"Medium","2","Sales_Executive","High","Single",5744,26959,1,"Yes",11,"Excellent","Very_High","0",6,"1","Better",6,4,0,3
25,"No","Travel_Rarely",1280,"Research_Development",7,"Below_College","Medical","Very_High","Male",64,"Medium","1","Research_Scientist","Very_High","Married",2889,26897,1,"No",11,"Excellent","High","2",2,"2","Better",2,2,2,1
22,"No","Travel_Rarely",534,"Research_Development",15,"Bachelor","Medical","Medium","Female",59,"High","1","Laboratory_Technician","Very_High","Single",2871,23785,1,"No",15,"Excellent","High","0",1,"5","Better",0,0,0,0
51,"No","Travel_Frequently",1456,"Research_Development",1,"Master","Medical","Low","Female",30,"Medium","3","Healthcare_Representative","Low","Single",7484,25796,3,"No",20,"Outstanding","High","0",23,"1","Good",13,12,12,8
34,"Yes","Travel_Frequently",658,"Research_Development",7,"Bachelor","Life_Sciences","Low","Male",66,"Low","2","Laboratory_Technician","High","Single",6074,22887,1,"Yes",24,"Outstanding","Very_High","0",9,"3","Better",9,7,0,6
54,"No","Non-Travel",142,"Human_Resources",26,"Bachelor","Human_Resources","Very_High","Female",30,"Very_High","4","Manager","Very_High","Single",17328,13871,2,"Yes",12,"Excellent","High","0",23,"3","Better",5,3,4,4
24,"No","Travel_Rarely",1127,"Research_Development",18,"Below_College","Life_Sciences","Medium","Male",52,"High","1","Laboratory_Technician","High","Married",2774,13257,0,"No",12,"Excellent","High","1",6,"2","Better",5,3,1,2
34,"No","Travel_Rarely",1031,"Research_Development",6,"Master","Life_Sciences","High","Female",45,"Medium","2","Research_Scientist","Medium","Divorced",4505,15000,6,"No",15,"Excellent","High","1",12,"3","Better",1,0,0,0
37,"No","Travel_Rarely",1189,"Sales",3,"Bachelor","Life_Sciences","High","Male",87,"High","3","Sales_Executive","Very_High","Single",7428,14506,2,"No",12,"Excellent","Low","0",12,"3","Better",5,3,1,3
34,"No","Travel_Rarely",1354,"Research_Development",5,"Bachelor","Medical","High","Female",45,"Medium","3","Manager","Low","Single",11631,5615,2,"No",12,"Excellent","Very_High","0",14,"6","Better",11,10,5,8
36,"No","Travel_Frequently",1467,"Sales",11,"College","Technical_Degree","Medium","Female",92,"High","3","Sales_Executive","Very_High","Married",9738,22952,0,"No",14,"Excellent","High","1",10,"6","Better",9,7,2,8
36,"No","Travel_Rarely",922,"Research_Development",3,"College","Life_Sciences","Low","Female",39,"High","1","Laboratory_Technician","Very_High","Divorced",2835,2561,5,"No",22,"Outstanding","Low","1",7,"2","Better",1,0,0,0
43,"No","Travel_Frequently",394,"Sales",26,"College","Life_Sciences","High","Male",92,"High","4","Manager","Very_High","Married",16959,19494,1,"Yes",12,"Excellent","Very_High","2",25,"3","Best",25,12,4,12
30,"No","Travel_Frequently",1312,"Research_Development",23,"Bachelor","Life_Sciences","Low","Male",96,"Low","1","Research_Scientist","High","Divorced",2613,22310,1,"No",25,"Outstanding","High","3",10,"2","Good",10,7,0,9
33,"No","Non-Travel",750,"Sales",22,"College","Marketing","High","Male",95,"High","2","Sales_Executive","Medium","Married",6146,15480,0,"No",13,"Excellent","Low","1",8,"2","Best",7,7,0,7
56,"Yes","Travel_Rarely",441,"Research_Development",14,"Master","Life_Sciences","Medium","Female",72,"High","1","Research_Scientist","Medium","Married",4963,4510,9,"Yes",18,"Excellent","Low","3",7,"2","Better",5,4,4,3
51,"No","Travel_Rarely",684,"Research_Development",6,"Bachelor","Life_Sciences","Low","Male",51,"High","5","Research_Director","High","Single",19537,6462,7,"No",13,"Excellent","High","0",23,"5","Better",20,18,15,15
31,"Yes","Travel_Rarely",249,"Sales",6,"Master","Life_Sciences","Medium","Male",76,"Low","2","Sales_Executive","High","Married",6172,20739,4,"Yes",18,"Excellent","Medium","0",12,"3","Good",7,7,7,7
26,"No","Travel_Rarely",841,"Research_Development",6,"Bachelor","Other","High","Female",46,"Medium","1","Research_Scientist","Medium","Married",2368,23300,1,"No",19,"Excellent","High","0",5,"3","Good",5,4,4,3
58,"Yes","Travel_Rarely",147,"Research_Development",23,"Master","Medical","Very_High","Female",94,"High","3","Healthcare_Representative","Very_High","Married",10312,3465,1,"No",12,"Excellent","Very_High","1",40,"3","Good",40,10,15,6
19,"Yes","Travel_Rarely",528,"Sales",22,"Below_College","Marketing","Very_High","Male",50,"High","1","Sales_Representative","High","Single",1675,26820,1,"Yes",19,"Excellent","Very_High","0",0,"2","Good",0,0,0,0
22,"No","Travel_Rarely",594,"Research_Development",2,"Below_College","Technical_Degree","High","Male",100,"High","1","Laboratory_Technician","Very_High","Married",2523,19299,0,"No",14,"Excellent","High","1",3,"2","Better",2,1,2,1
49,"No","Travel_Rarely",470,"Research_Development",20,"Master","Medical","High","Female",96,"High","2","Manufacturing_Director","Low","Married",6567,5549,1,"No",14,"Excellent","High","0",16,"2","Good",15,11,5,11
43,"No","Travel_Frequently",957,"Research_Development",28,"Bachelor","Medical","Medium","Female",72,"Very_High","1","Research_Scientist","High","Single",4739,16090,4,"No",12,"Excellent","Very_High","0",18,"2","Better",3,2,1,2
50,"No","Travel_Frequently",809,"Sales",12,"Bachelor","Marketing","High","Female",77,"High","3","Sales_Executive","Very_High","Single",9208,6645,4,"No",11,"Excellent","Very_High","0",16,"3","Better",2,2,2,1
31,"Yes","Travel_Rarely",542,"Sales",20,"Bachelor","Life_Sciences","Medium","Female",71,"Low","2","Sales_Executive","High","Married",4559,24788,3,"Yes",11,"Excellent","High","1",4,"2","Better",2,2,2,2
41,"No","Travel_Rarely",802,"Sales",9,"Below_College","Life_Sciences","High","Male",96,"High","3","Sales_Executive","High","Divorced",8189,21196,3,"Yes",13,"Excellent","High","1",12,"2","Better",9,7,0,7
26,"No","Travel_Rarely",1355,"Human_Resources",25,"Below_College","Life_Sciences","High","Female",61,"High","1","Human_Resources","High","Married",2942,8916,1,"No",23,"Outstanding","Very_High","1",8,"3","Better",8,7,5,7
36,"No","Travel_Rarely",216,"Research_Development",6,"College","Medical","Medium","Male",84,"High","2","Manufacturing_Director","Medium","Divorced",4941,2819,6,"No",20,"Outstanding","Very_High","2",7,"0","Better",3,2,0,1
51,"Yes","Travel_Frequently",1150,"Research_Development",8,"Master","Life_Sciences","Low","Male",53,"Low","3","Manufacturing_Director","Very_High","Single",10650,25150,2,"No",15,"Excellent","Very_High","0",18,"2","Better",4,2,0,3
39,"No","Travel_Rarely",1329,"Sales",4,"Master","Life_Sciences","Very_High","Female",47,"Medium","2","Sales_Executive","High","Married",5902,14590,4,"No",14,"Excellent","High","1",17,"1","Best",15,11,5,9
25,"No","Travel_Rarely",959,"Sales",28,"Bachelor","Life_Sciences","Low","Male",41,"Medium","2","Sales_Executive","High","Married",8639,24835,2,"No",18,"Excellent","Very_High","0",6,"3","Better",2,2,2,2
30,"No","Travel_Rarely",1240,"Human_Resources",9,"Bachelor","Human_Resources","High","Male",48,"High","2","Human_Resources","Very_High","Married",6347,13982,0,"Yes",19,"Excellent","Very_High","0",12,"2","Bad",11,9,4,7
32,"Yes","Travel_Rarely",1033,"Research_Development",9,"Bachelor","Medical","Low","Female",41,"High","1","Laboratory_Technician","Low","Single",4200,10224,7,"No",22,"Outstanding","Low","0",10,"2","Best",5,4,0,4
45,"No","Travel_Rarely",1316,"Research_Development",29,"Bachelor","Medical","High","Male",83,"High","1","Research_Scientist","Very_High","Single",3452,9752,5,"No",13,"Excellent","Medium","0",9,"2","Good",6,5,0,3
38,"No","Travel_Rarely",364,"Research_Development",3,"Doctor","Technical_Degree","Very_High","Female",32,"High","2","Research_Scientist","High","Single",4317,2302,3,"Yes",20,"Outstanding","Medium","0",19,"2","Better",3,2,2,2
30,"No","Travel_Rarely",438,"Research_Development",18,"Bachelor","Life_Sciences","Low","Female",75,"High","1","Research_Scientist","High","Single",2632,23910,1,"No",14,"Excellent","High","0",5,"4","Good",5,4,0,4
32,"No","Travel_Frequently",689,"Sales",9,"College","Medical","Very_High","Male",35,"Low","2","Sales_Executive","Very_High","Divorced",4668,22812,0,"No",17,"Excellent","Very_High","3",9,"2","Best",8,7,0,7
30,"No","Travel_Rarely",201,"Research_Development",5,"Bachelor","Technical_Degree","Very_High","Female",84,"High","1","Research_Scientist","Low","Divorced",3204,10415,5,"No",14,"Excellent","Very_High","1",8,"3","Better",3,2,2,2
30,"No","Travel_Rarely",1427,"Research_Development",2,"Below_College","Medical","Medium","Male",35,"Medium","1","Laboratory_Technician","Very_High","Single",2720,11162,0,"No",13,"Excellent","Very_High","0",6,"3","Better",5,3,1,2
41,"No","Travel_Frequently",857,"Research_Development",10,"Bachelor","Life_Sciences","Very_High","Male",91,"Medium","4","Manager","Low","Divorced",17181,12888,4,"No",13,"Excellent","Medium","1",21,"2","Good",7,6,7,7
41,"No","Travel_Rarely",933,"Research_Development",9,"Master","Life_Sciences","High","Male",94,"High","1","Laboratory_Technician","Low","Married",2238,6961,2,"No",21,"Outstanding","Very_High","1",7,"2","Better",5,0,1,4
19,"No","Travel_Rarely",1181,"Research_Development",3,"Below_College","Medical","Medium","Female",79,"High","1","Laboratory_Technician","Medium","Single",1483,16102,1,"No",14,"Excellent","Very_High","0",1,"3","Better",1,0,0,0
40,"No","Travel_Frequently",1395,"Research_Development",26,"Bachelor","Medical","Medium","Female",54,"High","2","Research_Scientist","Medium","Divorced",5605,8504,1,"No",11,"Excellent","Low","1",20,"2","Better",20,7,2,13
35,"No","Travel_Rarely",662,"Sales",1,"Doctor","Marketing","High","Male",94,"High","3","Sales_Executive","Medium","Married",7295,11439,1,"No",13,"Excellent","Low","2",10,"3","Better",10,8,0,6
53,"No","Travel_Rarely",1436,"Sales",6,"College","Marketing","Medium","Male",34,"High","2","Sales_Representative","High","Married",2306,16047,2,"Yes",20,"Outstanding","Very_High","1",13,"3","Bad",7,7,4,5
45,"No","Travel_Rarely",194,"Research_Development",9,"Bachelor","Life_Sciences","Medium","Male",60,"High","2","Laboratory_Technician","Medium","Divorced",2348,10901,8,"No",18,"Excellent","High","1",20,"2","Bad",17,9,0,15
32,"No","Travel_Frequently",967,"Sales",8,"Bachelor","Marketing","Medium","Female",43,"High","3","Sales_Executive","Very_High","Single",8998,15589,1,"No",14,"Excellent","Very_High","0",9,"2","Better",9,8,3,7
29,"No","Non-Travel",1496,"Research_Development",1,"Below_College","Technical_Degree","Very_High","Male",41,"High","2","Manufacturing_Director","High","Married",4319,26283,1,"No",13,"Excellent","Low","1",10,"1","Better",10,7,0,9
51,"No","Travel_Rarely",1169,"Research_Development",7,"Master","Medical","Medium","Male",34,"Medium","2","Manufacturing_Director","High","Married",6132,13983,2,"No",17,"Excellent","High","0",10,"2","Better",1,0,0,0
58,"No","Travel_Rarely",1145,"Research_Development",9,"Bachelor","Medical","Medium","Female",75,"Medium","1","Research_Scientist","Medium","Married",3346,11873,4,"Yes",20,"Outstanding","Medium","1",9,"3","Good",1,0,0,0
40,"No","Travel_Rarely",630,"Sales",4,"Master","Marketing","High","Male",67,"Medium","3","Sales_Executive","Very_High","Married",10855,8552,7,"No",11,"Excellent","Low","1",15,"2","Good",12,11,2,11
34,"No","Travel_Frequently",303,"Sales",2,"Master","Marketing","High","Female",75,"High","1","Sales_Representative","High","Married",2231,11314,6,"No",18,"Excellent","Very_High","1",6,"3","Better",4,3,1,2
22,"No","Travel_Rarely",1256,"Research_Development",19,"Below_College","Medical","High","Male",80,"High","1","Research_Scientist","Very_High","Married",2323,11992,1,"No",24,"Outstanding","Low","2",2,"6","Better",2,2,2,2
27,"No","Non-Travel",691,"Research_Development",9,"Bachelor","Medical","Very_High","Male",57,"High","1","Research_Scientist","Medium","Divorced",2024,5970,6,"No",18,"Excellent","Very_High","1",6,"1","Bad",2,2,2,2
28,"No","Travel_Rarely",440,"Research_Development",21,"Bachelor","Medical","High","Male",42,"High","1","Research_Scientist","Very_High","Married",2713,6672,1,"No",11,"Excellent","High","1",5,"2","Bad",5,2,0,2
57,"No","Travel_Rarely",334,"Research_Development",24,"College","Life_Sciences","High","Male",83,"Very_High","3","Healthcare_Representative","Very_High","Divorced",9439,23402,3,"Yes",16,"Excellent","Medium","1",12,"2","Bad",5,3,1,4
27,"No","Non-Travel",1450,"Research_Development",3,"Bachelor","Medical","High","Male",79,"Medium","1","Research_Scientist","High","Divorced",2566,25326,1,"Yes",15,"Excellent","Very_High","1",1,"2","Good",1,1,0,1
50,"No","Travel_Rarely",1452,"Research_Development",11,"Bachelor","Life_Sciences","High","Female",53,"High","5","Manager","Medium","Single",19926,17053,3,"No",15,"Excellent","Medium","0",21,"5","Better",5,4,4,4
41,"No","Travel_Rarely",465,"Research_Development",14,"Bachelor","Life_Sciences","Low","Male",56,"High","1","Research_Scientist","High","Divorced",2451,4609,4,"No",12,"Excellent","Low","1",13,"2","Better",9,8,1,8
30,"No","Travel_Rarely",1339,"Sales",5,"Bachelor","Life_Sciences","Medium","Female",41,"High","3","Sales_Executive","Very_High","Married",9419,8053,2,"No",12,"Excellent","High","1",12,"2","Better",10,9,7,4
38,"No","Travel_Rarely",702,"Sales",1,"Master","Life_Sciences","Low","Female",59,"Medium","2","Sales_Executive","Very_High","Single",8686,12930,4,"No",22,"Outstanding","High","0",12,"2","Best",8,3,0,7
32,"No","Travel_Rarely",120,"Research_Development",6,"Doctor","Life_Sciences","High","Male",43,"High","1","Research_Scientist","High","Single",3038,12430,3,"No",20,"Outstanding","Low","0",8,"2","Better",5,4,1,4
27,"No","Travel_Rarely",1157,"Research_Development",17,"Bachelor","Technical_Degree","High","Male",51,"High","1","Research_Scientist","Medium","Married",3058,13364,0,"Yes",16,"Excellent","Very_High","1",6,"3","Good",5,2,1,1
19,"Yes","Travel_Frequently",602,"Sales",1,"Below_College","Technical_Degree","High","Female",100,"Low","1","Sales_Representative","Low","Single",2325,20989,0,"No",21,"Outstanding","Low","0",1,"5","Best",0,0,0,0
36,"No","Travel_Frequently",1480,"Research_Development",3,"College","Medical","Very_High","Male",30,"High","1","Laboratory_Technician","Medium","Single",2088,15062,4,"No",12,"Excellent","High","0",13,"3","Good",8,7,7,2
30,"No","Non-Travel",111,"Research_Development",9,"Bachelor","Medical","High","Male",66,"High","2","Laboratory_Technician","Low","Divorced",3072,11012,1,"No",11,"Excellent","High","2",12,"4","Better",12,9,6,10
45,"No","Travel_Rarely",1268,"Sales",4,"College","Life_Sciences","High","Female",30,"High","2","Sales_Executive","Low","Divorced",5006,6319,4,"Yes",11,"Excellent","Low","1",9,"3","Best",5,4,0,3
56,"No","Travel_Rarely",713,"Research_Development",8,"Bachelor","Life_Sciences","High","Female",67,"High","1","Research_Scientist","Low","Divorced",4257,13939,4,"Yes",18,"Excellent","High","1",19,"3","Better",2,2,2,2
33,"No","Travel_Rarely",134,"Research_Development",2,"Bachelor","Life_Sciences","High","Male",90,"High","1","Research_Scientist","Very_High","Single",2500,10515,0,"No",14,"Excellent","Low","0",4,"2","Best",3,1,0,2
19,"Yes","Travel_Rarely",303,"Research_Development",2,"Bachelor","Life_Sciences","Medium","Male",47,"Medium","1","Laboratory_Technician","Very_High","Single",1102,9241,1,"No",22,"Outstanding","High","0",1,"3","Good",1,0,1,0
46,"No","Travel_Rarely",526,"Sales",1,"College","Marketing","Medium","Female",92,"High","3","Sales_Executive","Low","Divorced",10453,2137,1,"No",25,"Outstanding","High","3",24,"2","Better",24,13,15,7
38,"No","Travel_Rarely",1380,"Research_Development",9,"College","Life_Sciences","High","Female",75,"High","1","Laboratory_Technician","Very_High","Single",2288,6319,1,"No",12,"Excellent","High","0",2,"3","Better",2,2,2,1
31,"No","Travel_Rarely",140,"Research_Development",12,"Below_College","Medical","High","Female",95,"High","1","Research_Scientist","Very_High","Married",3929,6984,8,"Yes",23,"Outstanding","High","1",7,"0","Better",4,2,0,2
34,"No","Travel_Rarely",629,"Research_Development",27,"College","Medical","Very_High","Female",95,"High","1","Research_Scientist","Medium","Single",2311,5711,2,"No",15,"Excellent","Very_High","0",9,"3","Better",3,2,1,2
41,"Yes","Travel_Rarely",1356,"Sales",20,"College","Marketing","Medium","Female",70,"High","1","Sales_Representative","Medium","Single",3140,21728,1,"Yes",22,"Outstanding","Very_High","0",4,"5","Good",4,3,0,2
50,"No","Travel_Rarely",328,"Research_Development",1,"Bachelor","Medical","High","Male",86,"Medium","1","Laboratory_Technician","High","Married",3690,3425,2,"No",15,"Excellent","Very_High","1",5,"2","Good",3,2,0,2
53,"No","Travel_Rarely",1084,"Research_Development",13,"College","Medical","Very_High","Female",57,"Very_High","2","Manufacturing_Director","Low","Divorced",4450,26250,1,"No",11,"Excellent","High","2",5,"3","Better",4,2,1,3
33,"No","Travel_Rarely",931,"Research_Development",14,"Bachelor","Medical","Very_High","Female",72,"High","1","Research_Scientist","Medium","Married",2756,4673,1,"No",13,"Excellent","Very_High","1",8,"5","Better",8,7,1,6
40,"No","Travel_Rarely",989,"Research_Development",4,"Below_College","Medical","Very_High","Female",46,"High","5","Manager","High","Married",19033,6499,1,"No",14,"Excellent","Medium","1",21,"2","Better",20,8,9,9
55,"No","Travel_Rarely",692,"Research_Development",14,"Master","Medical","High","Male",61,"Very_High","5","Research_Director","Medium","Single",18722,13339,8,"No",11,"Excellent","Very_High","0",36,"3","Better",24,15,2,15
34,"No","Travel_Frequently",1069,"Research_Development",2,"Below_College","Life_Sciences","Very_High","Male",45,"Medium","2","Manufacturing_Director","High","Married",9547,14074,1,"No",17,"Excellent","High","0",10,"2","Good",10,9,1,9
51,"No","Travel_Rarely",313,"Research_Development",3,"Bachelor","Medical","Very_High","Female",98,"High","4","Healthcare_Representative","Medium","Single",13734,7192,3,"No",18,"Excellent","High","0",21,"6","Better",7,7,1,0
52,"No","Travel_Rarely",699,"Research_Development",1,"Master","Life_Sciences","High","Male",65,"Medium","5","Manager","High","Married",19999,5678,0,"No",14,"Excellent","Low","1",34,"5","Better",33,18,11,9
27,"No","Travel_Rarely",894,"Research_Development",9,"Bachelor","Medical","Very_High","Female",99,"High","1","Research_Scientist","Medium","Single",2279,11781,1,"No",16,"Excellent","Very_High","0",7,"2","Good",7,7,0,3
35,"Yes","Travel_Rarely",556,"Research_Development",23,"College","Life_Sciences","Medium","Male",50,"Medium","2","Manufacturing_Director","High","Married",5916,15497,3,"Yes",13,"Excellent","Low","0",8,"1","Better",1,0,0,1
43,"No","Non-Travel",1344,"Research_Development",7,"Bachelor","Medical","Very_High","Male",37,"Very_High","1","Research_Scientist","Very_High","Divorced",2089,5228,4,"No",14,"Excellent","Very_High","3",7,"3","Best",5,4,2,2
45,"No","Non-Travel",1195,"Research_Development",2,"College","Medical","Low","Male",65,"Medium","4","Manager","Very_High","Married",16792,20462,9,"No",23,"Outstanding","Very_High","1",22,"1","Better",20,8,11,8
37,"No","Travel_Rarely",290,"Research_Development",21,"Bachelor","Life_Sciences","Medium","Male",65,"Very_High","1","Research_Scientist","Low","Married",3564,22977,1,"Yes",12,"Excellent","Low","1",8,"3","Good",8,7,1,7
35,"No","Travel_Frequently",138,"Research_Development",2,"Bachelor","Medical","Medium","Female",37,"High","2","Laboratory_Technician","Medium","Single",4425,15986,5,"No",11,"Excellent","Very_High","0",10,"5","Better",6,2,1,2
42,"No","Non-Travel",926,"Research_Development",21,"College","Medical","High","Female",36,"High","2","Manufacturing_Director","High","Divorced",5265,16439,2,"No",16,"Excellent","Medium","1",11,"5","Better",5,3,0,2
38,"No","Travel_Rarely",1261,"Research_Development",2,"Master","Life_Sciences","Very_High","Male",88,"High","2","Manufacturing_Director","High","Married",6553,7259,9,"No",14,"Excellent","Medium","0",14,"3","Better",1,0,0,0
38,"No","Travel_Rarely",1084,"Research_Development",29,"Bachelor","Technical_Degree","Very_High","Male",54,"High","2","Manufacturing_Director","Very_High","Married",6261,4185,3,"No",18,"Excellent","Low","1",9,"3","Bad",7,7,1,7
